episode,steps,avg_reward,avg_length,win_rate_a,wins_a,wins_b,draws,fps,avg_tank_dist,tank_policy_type
2720,2157060,346.0921,198.51,27.65,752,1957,11,528.56,5.52,G1345_M422_C953
2730,2165060,374.7783,198.51,27.62,754,1965,11,528.38,5.45,G1347_M425_C958
2740,2172932,304.9140,198.49,27.63,757,1972,11,528.25,5.53,G1350_M428_C962
2750,2180932,319.0183,198.49,27.67,761,1978,11,528.29,5.49,G1359_M429_C962
2760,2188584,311.1473,197.62,27.75,766,1983,11,528.36,5.60,G1364_M430_C966
2770,2196584,310.9116,197.92,27.87,772,1987,11,528.48,5.60,G1371_M430_C969
2780,2204584,255.5818,198.43,27.84,774,1995,11,528.59,5.71,G1378_M430_C972
2790,2212584,146.6059,198.43,27.81,776,2003,11,528.69,5.96,G1382_M432_C976
2800,2220584,66.2636,198.43,27.89,781,2008,11,528.88,6.18,G1389_M432_C979
2810,2228464,108.8150,198.13,27.97,786,2013,11,528.83,6.03,G1393_M433_C984
2820,2235928,104.7321,197.17,27.94,788,2021,11,528.75,5.94,G1398_M435_C987
2830,2243928,148.8298,197.17,28.06,794,2025,11,528.77,5.82,G1401_M438_C991
2840,2251896,212.8558,197.41,28.06,797,2032,11,528.87,5.72,G1406_M439_C995
2850,2259768,124.0010,197.09,28.04,799,2040,11,529.01,5.96,G1413_M439_C998
2860,2267768,130.7594,197.96,28.01,801,2047,12,529.17,5.92,G1418_M439_C1003
2870,2275560,52.1211,197.44,27.98,803,2055,12,529.30,6.10,G1424_M439_C1007
2880,2283536,109.4658,197.38,27.99,806,2062,12,529.45,5.97,G1428_M440_C1012
2890,2291536,129.2275,197.38,28.03,810,2068,12,529.44,5.92,G1431_M441_C1018
2900,2299536,176.6503,197.38,27.97,811,2077,12,529.26,5.71,G1434_M442_C1024
2910,2307332,177.0062,197.17,27.94,813,2085,12,529.14,5.72,G1439_M445_C1026
2920,2314924,146.1502,197.49,27.98,817,2091,12,529.08,5.77,G1442_M448_C1030
2930,2322876,115.5266,197.37,27.95,819,2099,12,528.91,5.89,G1448_M449_C1033
2940,2330876,66.4029,197.45,27.86,819,2109,12,528.60,5.97,G1449_M451_C1040
2950,2338840,106.4056,197.68,27.90,823,2115,12,528.49,5.85,G1454_M452_C1044
2960,2346840,138.4351,197.68,27.91,826,2122,12,528.43,5.69,G1460_M452_C1048
2970,2354840,108.7292,198.20,27.81,826,2132,12,528.33,5.86,G1468_M453_C1049
2980,2362732,62.7328,197.99,27.79,828,2140,12,528.20,5.92,G1470_M456_C1054
2990,2370580,149.3346,197.61,27.79,831,2147,12,528.30,5.70,G1476_M456_C1058
3000,2378380,241.1801,197.11,27.83,835,2153,12,528.36,5.54,G1483_M457_C1060
3010,2386380,227.8050,197.62,27.81,837,2160,13,528.47,5.60,G1489_M457_C1064
3020,2394320,225.0199,198.49,27.81,840,2167,13,528.52,5.61,G1492_M459_C1069
3030,2402320,232.7642,198.61,27.79,842,2175,13,528.61,5.53,G1497_M461_C1072
3040,2410320,262.5068,198.61,27.80,845,2182,13,528.69,5.50,G1504_M464_C1072
3050,2418308,120.5342,198.67,27.87,850,2187,13,528.65,5.96,G1508_M465_C1077
3060,2426248,145.8603,198.52,27.97,856,2191,13,528.60,5.93,G1513_M466_C1081
3070,2434248,285.5781,198.52,28.05,861,2196,13,528.72,5.55,G1520_M466_C1084
3080,2442248,257.8678,198.79,28.08,865,2202,13,528.83,5.71,G1528_M467_C1085
3090,2450180,227.6277,199.00,28.19,871,2206,13,528.89,5.81,G1532_M469_C1089
3100,2458180,177.7483,199.50,28.32,878,2209,13,528.97,5.98,G1538_M470_C1092
3110,2465812,183.1856,198.58,28.39,883,2214,13,529.06,5.95,G1543_M472_C1095
3120,2473812,122.9766,198.73,28.37,885,2222,13,529.14,6.12,G1545_M475_C1100
3130,2481812,95.4807,198.73,28.37,888,2229,13,529.06,6.25,G1550_M477_C1103
3140,2489748,105.3894,198.57,28.41,892,2235,13,528.86,6.25,G1554_M478_C1108
3150,2497692,276.7159,198.46,28.54,899,2238,13,528.85,5.71,G1561_M478_C1111
3160,2505628,206.9190,198.45,28.58,903,2244,13,528.74,5.89,G1564_M482_C1114
3170,2513608,38.2389,198.40,28.52,904,2253,13,528.58,6.45,G1569_M486_C1115
3180,2521608,108.8640,198.40,28.46,905,2262,13,528.46,6.22,G1573_M489_C1118
3190,2529396,82.6550,198.04,28.50,909,2268,13,528.51,6.24,G1577_M491_C1122
3200,2537396,-3.4922,198.04,28.53,913,2274,13,528.63,6.39,G1580_M491_C1129
3210,2545208,-73.1175,198.49,28.47,914,2283,13,528.48,6.59,G1584_M494_C1132
3220,2552968,-55.4487,197.89,28.51,918,2289,13,528.40,6.62,G1589_M495_C1136
3230,2560660,-18.2956,197.12,28.54,922,2295,13,528.47,6.51,G1596_M496_C1138
3240,2568660,-17.3703,197.28,28.55,925,2301,14,528.56,6.46,G1602_M496_C1142
3250,2576120,-95.2668,196.07,28.65,931,2305,14,528.66,6.61,G1606_M496_C1148
3260,2583852,-26.8064,195.56,28.74,937,2309,14,528.73,6.40,G1611_M496_C1153
3270,2591244,106.1450,194.09,28.78,941,2315,14,528.79,5.90,G1616_M498_C1156
3280,2599244,95.6840,194.09,28.81,945,2321,14,528.90,5.92,G1624_M499_C1157
3290,2607244,113.5872,194.62,28.78,947,2329,14,528.96,5.92,G1629_M499_C1162
3300,2615244,188.0768,194.62,28.79,950,2336,14,528.93,5.72,G1633_M500_C1167
3310,2623180,284.2196,194.93,28.82,954,2342,14,528.94,5.43,G1639_M502_C1169
3320,2630552,308.3984,193.96,28.83,957,2349,14,529.02,5.32,G1641_M503_C1176
3330,2638552,266.6122,194.73,28.80,959,2357,14,529.14,5.33,G1646_M503_C1181
3340,2646368,285.9159,194.27,28.83,963,2363,14,529.19,5.32,G1651_M505_C1184
3350,2654272,314.3566,195.38,28.93,969,2367,14,529.28,5.26,G1654_M506_C1190
3360,2662272,349.7108,196.05,28.99,974,2372,14,529.41,5.23,G1660_M507_C1193
3370,2670272,270.0484,197.57,28.93,975,2381,14,529.48,5.39,G1664_M509_C1197
3380,2678252,209.7629,197.52,28.91,977,2389,14,529.31,5.53,G1667_M511_C1202
3390,2686252,153.6975,197.52,28.88,979,2397,14,529.22,5.62,G1672_M512_C1206
3400,2693948,105.0431,196.76,28.94,984,2402,14,529.24,5.84,G1677_M512_C1211
3410,2701948,60.0008,196.92,28.91,986,2410,14,529.12,5.92,G1680_M514_C1216
3420,2709948,77.2571,198.49,28.89,988,2418,14,529.03,5.80,G1682_M516_C1222
3430,2717948,154.6018,198.49,28.92,992,2424,14,528.91,5.72,G1688_M519_C1223
3440,2725624,114.8197,198.14,28.92,995,2431,14,528.97,5.80,G1690_M521_C1229
3450,2733624,145.8161,198.38,28.93,998,2438,14,528.94,5.68,G1696_M523_C1231
3460,2741624,78.0702,198.38,28.93,1001,2445,14,528.86,5.84,G1701_M524_C1235
3470,2749580,104.1418,198.27,28.90,1003,2453,14,528.77,5.70,G1705_M528_C1237
3480,2757448,98.6495,197.99,28.88,1005,2461,14,528.81,5.73,G1709_M530_C1241
3490,2765184,50.1233,197.33,28.91,1009,2467,14,528.81,5.99,G1713_M533_C1244
3500,2773184,127.0222,198.09,28.97,1014,2472,14,528.87,5.86,G1721_M534_C1245
3510,2780896,143.1877,197.37,28.95,1016,2480,14,528.98,5.80,G1725_M534_C1251
3520,2788896,194.0733,197.37,29.03,1022,2484,14,529.01,5.68,G1729_M538_C1253
3530,2796896,113.8693,197.37,29.04,1025,2491,14,528.97,5.85,G1733_M542_C1255
3540,2804896,171.9304,198.18,29.15,1032,2494,14,528.88,5.75,G1738_M544_C1258
3550,2812716,130.5297,197.73,29.18,1036,2500,14,528.90,5.92,G1742_M545_C1263
3560,2820716,224.3408,197.73,29.19,1039,2507,14,528.97,5.65,G1749_M546_C1265
3570,2828568,257.0614,197.47,29.22,1043,2513,14,529.04,5.63,G1755_M547_C1268
3580,2836248,287.6020,197.00,29.19,1045,2521,14,529.09,5.44,G1760_M549_C1271
3590,2844088,383.4032,197.26,29.19,1048,2528,14,529.17,5.07,G1764_M550_C1276
3600,2851760,383.8940,196.44,29.19,1051,2535,14,529.26,4.98,G1770_M552_C1278
3610,2859760,447.0361,197.16,29.28,1057,2539,14,529.35,4.91,G1776_M553_C1281
3620,2867556,460.8781,196.65,29.39,1064,2542,14,529.24,4.88,G1781_M553_C1286
3630,2874884,510.0807,194.97,29.45,1069,2547,14,529.09,4.79,G1784_M556_C1290
3640,2882520,457.7485,194.06,29.45,1072,2554,14,529.06,4.87,G1789_M558_C1293
3650,2890520,457.7440,194.51,29.51,1077,2559,14,528.98,4.89,G1793_M560_C1297
3660,2898440,348.4421,194.31,29.51,1080,2566,14,528.80,5.13,G1797_M561_C1302
3670,2906332,285.3044,194.41,29.48,1082,2574,14,528.77,5.31,G1801_M562_C1307
3680,2914332,367.8850,195.21,29.48,1085,2581,14,528.86,5.23,G1809_M562_C1309
3690,2922332,402.4314,195.61,29.46,1087,2589,14,528.88,5.13,G1814_M563_C1313
3700,2930080,352.3875,195.80,29.54,1093,2593,14,528.83,5.23,G1821_M563_C1316
3710,2938072,274.8783,195.78,29.60,1098,2598,14,528.71,5.35,G1825_M567_C1318
3720,2946072,234.5946,196.29,29.57,1100,2606,14,528.79,5.45,G1829_M567_C1324
3730,2954072,164.9861,197.97,29.65,1106,2610,14,528.85,5.62,G1832_M568_C1330
3740,2962072,221.4532,198.88,29.73,1112,2614,14,528.85,5.49,G1838_M571_C1331
3750,2969728,251.0144,198.02,29.81,1118,2617,15,528.86,5.41,G1841_M575_C1334
3760,2977284,298.4892,197.11,29.76,1119,2626,15,528.89,5.31,G1844_M579_C1337
3770,2984992,334.7285,196.65,29.84,1125,2630,15,528.91,5.22,G1846_M582_C1342
3780,2992448,322.7505,195.29,29.89,1130,2635,15,528.88,5.17,G1848_M583_C1349
3790,3000064,225.8211,194.33,29.84,1131,2644,15,528.79,5.48,G1852_M586_C1352
3800,3007992,190.0886,194.78,29.84,1134,2651,15,528.86,5.63,G1858_M587_C1355
3810,3015720,185.1224,194.12,29.87,1138,2657,15,528.88,5.72,G1864_M590_C1356
3820,3023720,154.2634,194.12,29.84,1140,2665,15,528.95,5.85,G1869_M591_C1360
3830,3031720,221.1595,194.12,29.92,1146,2669,15,529.05,5.62,G1877_M591_C1362
3840,3039720,183.3246,194.12,30.00,1152,2673,15,529.13,5.67,G1879_M593_C1368
3850,3047324,227.8766,193.99,30.03,1156,2679,15,529.25,5.58,G1887_M593_C1370
3860,3054672,256.5912,193.47,30.00,1158,2687,15,529.20,5.59,G1893_M593_C1374
3870,3062388,276.3052,193.49,30.03,1162,2693,15,529.09,5.55,G1898_M594_C1378
3880,3070352,227.6673,194.76,30.03,1165,2700,15,529.07,5.76,G1905_M595_C1380
3890,3078352,243.9666,195.72,30.00,1167,2708,15,529.07,5.68,G1909_M596_C1385
3900,3086352,250.4328,195.90,30.00,1170,2715,15,528.99,5.53,G1913_M599_C1388
3910,3094352,298.3564,196.58,29.97,1172,2723,15,528.93,5.44,G1918_M600_C1392
3920,3102324,341.0106,196.51,30.00,1176,2729,15,528.94,5.26,G1923_M601_C1396
3930,3110324,279.0933,196.51,29.95,1177,2738,15,528.97,5.39,G1928_M601_C1401
3940,3118260,229.8779,196.35,29.92,1179,2746,15,528.81,5.58,G1930_M605_C1405
3950,3126260,158.3270,197.34,29.90,1181,2754,15,528.72,5.69,G1938_M607_C1405
3960,3133976,58.7026,198.26,29.87,1183,2762,15,528.80,6.02,G1944_M607_C1409
3970,3141976,47.3781,198.97,29.82,1184,2771,15,528.83,6.04,G1951_M609_C1410
3980,3149968,58.7401,199.04,29.85,1188,2777,15,528.87,5.95,G1953_M611_C1416
3990,3157968,131.9629,199.04,29.87,1192,2783,15,528.96,5.88,G1960_M611_C1419
4000,3165836,154.1191,198.71,29.88,1195,2790,15,529.05,5.95,G1966_M612_C1422
4010,3173836,135.2914,198.71,29.88,1198,2797,15,529.09,5.98,G1970_M615_C1425
4020,3181712,149.4994,198.47,29.90,1202,2803,15,529.01,5.96,G1974_M618_C1428
4030,3189712,177.2884,198.47,29.93,1206,2809,15,528.97,5.98,G1977_M618_C1435
4040,3197328,262.7641,197.67,29.93,1209,2816,15,529.05,5.75,G1983_M618_C1439
4050,3205060,216.6874,197.00,29.88,1210,2825,15,529.14,5.95,G1986_M618_C1446
4060,3213060,288.5879,197.71,29.88,1213,2832,15,529.23,5.72,G1994_M618_C1448
4070,3221060,276.7793,197.71,29.93,1218,2837,15,529.31,5.80,G2000_M619_C1451
4080,3229060,245.1581,197.73,29.93,1221,2844,15,529.32,5.85,G2006_M623_C1451
4090,3237060,192.1070,197.73,29.93,1224,2851,15,529.41,5.88,G2012_M624_C1454
4100,3245060,196.8227,198.06,29.88,1225,2860,15,529.40,5.82,G2017_M625_C1458
4110,3253060,145.6184,198.06,29.88,1228,2867,15,529.26,5.93,G2019_M627_C1464
4120,3261052,2.3378,198.35,29.81,1228,2877,15,529.20,6.39,G2024_M629_C1467
4130,3269052,-98.7768,198.35,29.76,1229,2886,15,529.25,6.76,G2030_M629_C1471
4140,3277052,-135.5620,199.31,29.71,1230,2895,15,529.18,6.86,G2034_M630_C1476
4150,3285052,-77.2507,199.98,29.73,1234,2901,15,529.10,6.60,G2039_M631_C1480
4160,3292956,-51.0276,199.74,29.74,1237,2908,15,529.04,6.44,G2046_M631_C1483
4170,3300956,15.6782,199.74,29.69,1238,2917,15,528.93,6.28,G2054_M632_C1484
4180,3308780,98.1516,199.30,29.67,1240,2925,15,528.83,6.13,G2062_M634_C1484
4190,3316780,192.7972,199.30,29.67,1243,2932,15,528.73,5.91,G2067_M636_C1487
4200,3324664,233.1497,199.01,29.69,1247,2938,15,528.76,5.76,G2072_M637_C1491
4210,3332664,305.8492,199.01,29.67,1249,2946,15,528.76,5.51,G2077_M639_C1494
4220,3340664,409.5257,199.03,29.62,1250,2955,15,528.77,5.13,G2083_M641_C1496
4230,3348400,472.1073,198.37,29.55,1250,2965,15,528.77,4.78,G2086_M644_C1500
4240,3356400,396.7119,198.37,29.48,1250,2975,15,528.86,5.04,G2093_M645_C1502
4250,3364248,328.9173,197.99,29.46,1252,2983,15,528.92,5.33,G2100_M647_C1503
4260,3372240,285.1442,198.21,29.48,1256,2989,15,528.85,5.42,G2105_M648_C1507
4270,3380124,193.6265,197.92,29.53,1261,2994,15,528.78,5.57,G2108_M650_C1512
4280,3387952,172.4276,197.93,29.63,1268,2997,15,528.76,5.62,G2111_M654_C1515
4290,3395892,69.3003,197.78,29.60,1270,3005,15,528.83,5.88,G2115_M654_C1521
4300,3403892,31.1709,198.07,29.60,1273,3012,15,528.89,5.97,G2121_M655_C1524
4310,3411812,-12.0155,197.87,29.54,1273,3022,15,528.93,6.19,G2124_M657_C1529
4320,3419764,-44.0168,197.75,29.51,1275,3030,15,528.99,6.33,G2130_M658_C1532
4330,3427764,-18.2388,198.41,29.56,1280,3035,15,529.02,6.32,G2135_M661_C1534
4340,3435764,82.4194,198.41,29.59,1284,3041,15,528.92,6.09,G2141_M663_C1536
4350,3443764,106.9425,198.79,29.66,1290,3044,16,528.88,5.94,G2146_M664_C1540
4360,3451764,207.6055,198.81,29.68,1294,3050,16,528.90,5.77,G2153_M665_C1542
4370,3459456,235.4444,198.33,29.68,1297,3057,16,528.85,5.71,G2155_M669_C1546
4380,3467456,220.9115,198.76,29.75,1303,3061,16,528.86,5.75,G2158_M670_C1552
4390,3475456,308.1975,198.91,29.82,1309,3065,16,528.87,5.54,G2165_M671_C1554
4400,3483288,255.6495,198.49,29.86,1314,3070,16,528.83,5.77,G2169_M673_C1558
4410,3491012,289.4618,198.00,29.89,1318,3076,16,528.80,5.63,G2173_M675_C1562
4420,3498492,330.4038,196.82,29.86,1320,3084,16,528.73,5.48,G2180_M677_C1563
4430,3506268,365.7487,196.26,29.89,1324,3090,16,528.63,5.33,G2182_M680_C1568
4440,3514064,367.1974,195.75,29.93,1329,3095,16,528.66,5.27,G2188_M681_C1571
4450,3521484,378.4521,194.30,29.96,1333,3101,16,528.68,5.25,G2193_M683_C1574
4460,3529200,272.2230,193.59,29.98,1337,3107,16,528.70,5.40,G2195_M685_C1580
4470,3537200,246.1033,194.36,29.93,1338,3116,16,528.71,5.43,G2202_M687_C1581
4480,3545200,308.4070,194.36,29.93,1341,3123,16,528.79,5.31,G2210_M687_C1583
4490,3553200,312.9783,194.36,30.04,1349,3125,16,528.86,5.28,G2217_M688_C1585
4500,3561200,402.8290,194.78,30.04,1352,3132,16,528.81,5.00,G2222_M690_C1588
4510,3569200,414.1618,195.47,30.13,1359,3135,16,528.70,4.98,G2226_M693_C1591
4520,3577200,423.3237,196.77,30.11,1361,3143,16,528.73,4.94,G2231_M695_C1594
4530,3585116,404.0931,197.12,30.07,1362,3152,16,528.79,5.05,G2236_M695_C1599
4540,3593116,382.1047,197.63,30.09,1366,3158,16,528.85,5.07,G2242_M696_C1602
4550,3601104,404.7558,199.05,30.15,1372,3162,16,528.91,4.97,G2248_M697_C1605
4560,3609104,362.5447,199.76,30.09,1372,3172,16,528.97,5.06,G2252_M698_C1610
4570,3617084,398.7244,199.71,30.09,1375,3179,16,529.06,5.03,G2259_M698_C1613
4580,3625084,338.2233,199.71,30.11,1379,3185,16,529.04,5.14,G2264_M699_C1617
4590,3632820,317.9618,199.05,30.11,1382,3192,16,528.91,5.11,G2267_M703_C1620
4600,3640584,287.9647,198.46,30.11,1385,3199,16,528.92,5.15,G2273_M704_C1623
4610,3648584,306.2575,198.46,30.11,1388,3206,16,528.93,5.17,G2278_M705_C1627
4620,3656528,309.8415,198.32,30.11,1391,3213,16,528.85,5.20,G2283_M707_C1630
4630,3664528,341.7860,198.53,30.06,1392,3222,16,528.78,5.08,G2289_M708_C1633
4640,3672528,284.0702,198.53,30.11,1397,3227,16,528.81,5.24,G2291_M710_C1639
4650,3680528,311.5900,198.56,30.13,1401,3233,16,528.83,5.18,G2297_M713_C1640
4660,3688528,378.8589,198.56,30.13,1404,3240,16,528.76,5.14,G2302_M714_C1644
4670,3696428,394.3030,198.36,30.15,1408,3246,16,528.73,5.13,G2307_M714_C1649
4680,3704428,381.0401,198.36,30.11,1409,3255,16,528.75,5.16,G2312_M715_C1653
4690,3712428,372.7323,199.02,30.11,1412,3262,16,528.79,5.29,G2318_M715_C1657
4700,3720208,408.8656,199.06,30.13,1416,3268,16,528.82,5.24,G2325_M716_C1659
4710,3728208,420.0046,199.06,30.15,1420,3274,16,528.83,5.12,G2329_M719_C1662
4720,3736208,398.3148,199.20,30.17,1424,3280,16,528.91,5.17,G2331_M720_C1669
4730,3744208,389.5836,199.20,30.25,1431,3283,16,528.98,5.22,G2335_M721_C1674
4740,3752180,472.8314,199.13,30.23,1433,3291,16,529.00,4.94,G2340_M722_C1678
4750,3760180,413.0083,199.13,30.23,1436,3298,16,528.98,5.13,G2346_M723_C1681
4760,3768180,363.7251,199.13,30.23,1439,3305,16,529.02,5.23,G2354_M723_C1683
4770,3776180,364.2557,199.38,30.23,1442,3312,16,529.08,5.21,G2360_M723_C1687
4780,3784180,399.8811,199.38,30.23,1445,3319,16,529.06,5.11,G2365_M727_C1688
4790,3791956,417.3125,198.82,30.21,1447,3327,16,529.11,5.06,G2371_M729_C1690
4800,3799876,379.2968,199.17,30.19,1449,3335,16,529.15,5.15,G2375_M731_C1694
4810,3807876,300.8948,199.17,30.21,1453,3341,16,529.17,5.39,G2379_M734_C1697
4820,3815728,339.4770,198.80,30.17,1454,3350,16,529.11,5.27,G2384_M737_C1699
4830,3823728,366.3185,198.80,30.19,1458,3356,16,529.02,5.18,G2389_M740_C1701
4840,3831592,372.1587,198.53,30.19,1461,3363,16,529.02,5.24,G2392_M741_C1707
4850,3839592,382.1994,198.53,30.14,1462,3372,16,529.05,5.29,G2398_M741_C1711
4860,3847448,411.7944,198.17,30.12,1464,3380,16,528.96,5.19,G2399_M744_C1717
4870,3854784,372.6533,196.51,30.12,1467,3387,16,528.91,5.22,G2404_M745_C1721
4880,3862688,395.7476,196.27,30.18,1473,3391,16,528.92,5.20,G2408_M745_C1727
4890,3870592,361.7731,196.59,30.18,1476,3398,16,528.97,5.25,G2413_M745_C1732
4900,3877912,348.0262,195.09,30.18,1479,3405,16,528.91,5.25,G2417_M748_C1735
4910,3885912,409.7187,195.09,30.22,1484,3410,16,528.84,5.07,G2422_M749_C1739
4920,3893732,349.4183,195.01,30.22,1487,3417,16,528.83,5.32,G2427_M751_C1742
4930,3901732,329.3176,195.01,30.28,1493,3421,16,528.86,5.35,G2431_M752_C1747
4940,3909732,343.3243,195.35,30.32,1498,3426,16,528.91,5.36,G2438_M752_C1750
4950,3917732,380.5932,195.35,30.34,1502,3432,16,528.93,5.21,G2444_M754_C1752
4960,3925732,450.7722,195.71,30.34,1505,3439,16,528.99,5.03,G2450_M755_C1755
4970,3933732,491.6062,197.37,30.36,1509,3445,16,529.02,4.97,G2454_M758_C1758
4980,3941732,519.1556,197.61,30.32,1510,3454,16,528.99,4.90,G2461_M760_C1759
4990,3949628,530.2913,197.59,30.36,1515,3459,16,528.91,4.81,G2466_M763_C1761
5000,3956956,555.6546,197.61,30.40,1520,3464,16,528.91,4.75,G2468_M765_C1767
5010,3964888,515.5191,197.44,30.40,1523,3471,16,528.94,4.86,G2474_M766_C1770
5020,3972888,542.5220,197.89,30.38,1525,3479,16,528.99,4.63,G2480_M767_C1773
5030,3980624,518.4912,197.23,30.38,1528,3486,16,529.04,4.70,G2485_M768_C1777
5040,3988352,491.5290,196.55,30.44,1534,3490,16,529.05,4.64,G2488_M771_C1781
5050,3996172,461.9740,196.10,30.42,1536,3498,16,529.11,4.70,G2494_M772_C1784
5060,4003664,439.5691,194.83,30.43,1540,3504,16,529.08,4.67,G2498_M775_C1787
5070,4011636,409.6240,194.76,30.39,1541,3513,16,528.99,4.69,G2503_M778_C1789
5080,4019636,343.3009,194.76,30.35,1542,3522,16,528.94,4.79,G2507_M781_C1792
5090,4027484,314.1784,194.64,30.39,1547,3527,16,528.95,4.85,G2510_M783_C1797
5100,4035484,351.2435,196.32,30.47,1554,3530,16,528.92,4.75,G2515_M784_C1801
5110,4043180,364.2879,195.73,30.47,1557,3537,16,528.84,4.65,G2517_M786_C1807
5120,4051008,310.3952,195.30,30.47,1560,3544,16,528.82,4.82,G2520_M789_C1811
5130,4059008,216.4849,195.96,30.47,1563,3551,16,528.89,5.02,G2524_M789_C1817
5140,4067008,169.8999,196.64,30.45,1565,3559,16,528.82,5.10,G2527_M793_C1820
5150,4075008,180.0262,197.09,30.49,1570,3564,16,528.78,5.07,G2534_M793_C1823
5160,4082844,193.4547,197.95,30.54,1576,3568,16,528.80,5.20,G2540_M793_C1827
5170,4090844,161.6995,198.02,30.54,1579,3575,16,528.78,5.30,G2544_M796_C1830
5180,4098644,167.0918,197.52,30.60,1585,3579,16,528.79,5.34,G2548_M798_C1834
5190,4106644,218.1252,197.90,30.58,1587,3587,16,528.84,5.30,G2555_M799_C1836
5200,4114644,232.9362,197.90,30.63,1593,3591,16,528.88,5.28,G2562_M801_C1837
5210,4122548,276.2683,198.42,30.63,1596,3598,16,528.92,5.22,G2568_M803_C1839
5220,4130284,417.8079,198.19,30.63,1599,3605,16,528.93,4.95,G2575_M804_C1841
5230,4138064,520.6385,197.64,30.63,1602,3612,16,528.91,4.73,G2580_M804_C1846
5240,4146064,602.0738,197.64,30.69,1608,3616,16,528.87,4.59,G2585_M807_C1848
5250,4154064,654.0334,197.64,30.65,1609,3625,16,528.89,4.48,G2588_M809_C1853
5260,4162064,570.5047,198.05,30.68,1614,3630,16,528.94,4.67,G2592_M810_C1858
5270,4169752,608.6659,197.27,30.66,1616,3638,16,528.98,4.59,G2594_M811_C1865
